Edad;Unidad;Sexo;Periodo;Total
Total;Valor absoluto;Ambos sexos;2012T3;5.824,2
Total;Valor absoluto;Ambos sexos;2012T2;5.731,0
Total;Valor absoluto;Ambos sexos;2012T1;5.667,9
Total;Valor absoluto;Ambos sexos;2011T4;5.287,3
Total;Valor absoluto;Ambos sexos;2011T3;4.998,0
Total;Valor absoluto;Ambos sexos;2011T2;4.844,2
Total;Valor absoluto;Ambos sexos;2011T1;4.921,2
Total;Valor absoluto;Ambos sexos;2010T4;4.702,2
Total;Valor absoluto;Ambos sexos;2010T3;4.585,4
Total;Valor absoluto;Ambos sexos;2010T2;4.655,3
Total;Valor absoluto;Ambos sexos;2010T1;4.617,7
Total;Valor absoluto;Hombres;2025T3;1.180,4
Total;Valor absoluto;Hombres;2025T2;1.203,0
Total;Valor absoluto;Hombres;2025T1;1.310,0
Total;Valor absoluto;Hombres;2024T4;1.232,9
Total;Valor absoluto;Hombres;2024T3;1.303,6
Total;Valor absoluto;Hombres;2024T2;1.299,5
Total;Valor absoluto;Hombres;2024T1;1.408,7
Total;Valor absoluto;Hombres;2023T4;1.331,1
Total;Valor absoluto;Hombres;2023T3;1.328,1
Total;Valor absoluto;Hombres;2023T2;1.307,0
Total;Valor absoluto;Hombres;2023T1;1.466,3
Total;Valor absoluto;Hombres;2022T4;1.438,7
Total;Valor absoluto;Hombres;2022T3;1.368,2
Total;Valor absoluto;Hombres;2022T2;1.398,9
Total;Valor absoluto;Hombres;2022T1;1.511,3
Total;Valor absoluto;Hombres;2021T4;1.480,1
Total;Valor absoluto;Hombres;2021T3;1.647,5
Total;Valor absoluto;Hombres;2021T2;1.675,9
Total;Valor absoluto;Hombres;2021T1;1.734,7
Total;Valor absoluto;Hombres;2020T4;1.728,4
Total;Valor absoluto;Hombres;2020T3;1.757,4
Total;Valor absoluto;Hombres;2020T2;1.667,1
Total;Valor absoluto;Hombres;2020T1;1.564,2
Total;Valor absoluto;Hombres;2019T4;1.506,1
Total;Valor absoluto;Hombres;2019T3;1.500,5
Total;Valor absoluto;Hombres;2019T2;1.534,1
Total;Valor absoluto;Hombres;2019T1;1.570,5
Total;Valor absoluto;Hombres;2018T4;1.574,1
Total;Valor absoluto;Hombres;2018T3;1.609,6
Total;Valor absoluto;Hombres;2018T2;1.673,9
Total;Valor absoluto;Hombres;2018T1;1.840,7
Total;Valor absoluto;Hombres;2017T4;1.820,6
Total;Valor absoluto;Hombres;2017T3;1.810,7
Total;Valor absoluto;Hombres;2017T2;1.901,4
Total;Valor absoluto;Hombres;2017T1;2.090,6
Total;Valor absoluto;Hombres;2016T4;2.095,1
Total;Valor absoluto;Hombres;2016T3;2.129,4
Total;Valor absoluto;Hombres;2016T2;2.249,6
Total;Valor absoluto;Hombres;2016T1;2.378,0
Total;Valor absoluto;Hombres;2015T4;2.387,6
Total;Valor absoluto;Hombres;2015T3;2.458,8
Total;Valor absoluto;Hombres;2015T2;2.588,5
Total;Valor absoluto;Hombres;2015T1;2.802,3
Total;Valor absoluto;Hombres;2014T4;2.823,7
Total;Valor absoluto;Hombres;2014T3;2.793,5
Total;Valor absoluto;Hombres;2014T2;2.932,2
Total;Valor absoluto;Hombres;2014T1;3.116,6
Total;Valor absoluto;Hombres;2013T4;3.108,8
Total;Valor absoluto;Hombres;2013T3;3.160,8
Total;Valor absoluto;Hombres;2013T2;3.194,4
Total;Valor absoluto;Hombres;2013T1;3.358,4
Total;Valor absoluto;Hombres;2012T4;3.212,0
Total;Valor absoluto;Hombres;2012T3;3.136,6
Total;Valor absoluto;Hombres;2012T2;3.124,5
Total;Valor absoluto;Hombres;2012T1;3.052,5
Total;Valor absoluto;Hombres;2011T4;2.857,7
Total;Valor absoluto;Hombres;2011T3;2.696,2
Total;Valor absoluto;Hombres;2011T2;2.624,5
Total;Valor absoluto;Hombres;2011T1;2.645,2
Total;Valor absoluto;Hombres;2010T4;2.552,5
Total;Valor absoluto;Hombres;2010T3;2.485,2
Total;Valor absoluto;Hombres;2010T2;2.545,8
Total;Valor absoluto;Hombres;2010T1;2.559,4
Total;Valor absoluto;Mujeres;2025T3;1.432,8
Total;Valor absoluto;Mujeres;2025T2;1.350,0
Total;Valor absoluto;Mujeres;2025T1;1.479,1
Total;Valor absoluto;Mujeres;2024T4;1.362,6
Total;Valor absoluto;Mujeres;2024T3;1.450,5
Total;Valor absoluto;Mujeres;2024T2;1.455,8
Total;Valor absoluto;Mujeres;2024T1;1.569,2
Total;Valor absoluto;Mujeres;2023T4;1.529,7
Total;Valor absoluto;Mujeres;2023T3;1.566,5
Total;Valor absoluto;Mujeres;2023T2;1.501,2
Total;Valor absoluto;Mujeres;2023T1;1.720,0
Total;Valor absoluto;Mujeres;2022T4;1.642,9
Total;Valor absoluto;Mujeres;2022T3;1.657,6
Total;Valor absoluto;Mujeres;2022T2;1.595,8
Total;Valor absoluto;Mujeres;2022T1;1.703,3
Total;Valor absoluto;Mujeres;2021T4;1.668,6
Total;Valor absoluto;Mujeres;2021T3;1.819,8
Total;Valor absoluto;Mujeres;2021T2;1.910,4
Total;Valor absoluto;Mujeres;2021T1;1.968,6
Total;Valor absoluto;Mujeres;2020T4;1.991,4
Total;Valor absoluto;Mujeres;2020T3;1.965,5
Total;Valor absoluto;Mujeres;2020T2;1.700,9
Total;Valor absoluto;Mujeres;2020T1;1.748,8
Total;Valor absoluto;Mujeres;2019T4;1.685,8
Total;Valor absoluto;Mujeres;2019T3;1.713,9
Total;Valor absoluto;Mujeres;2019T2;1.696,5
Total;Valor absoluto;Mujeres;2019T1;1.783,8
Total;Valor absoluto;Mujeres;2018T4;1.730,2
Total;Valor absoluto;Mujeres;2018T3;1.716,4
Total;Valor absoluto;Mujeres;2018T2;1.816,2
Total;Valor absoluto;Mujeres;2018T1;1.955,4
Total;Valor absoluto;Mujeres;2017T4;1.946,0
Total;Valor absoluto;Mujeres;2017T3;1.921,1
Total;Valor absoluto;Mujeres;2017T2;2.012,9
Total;Valor absoluto;Mujeres;2017T1;2.164,5
Total;Valor absoluto;Mujeres;2016T4;2.142,7
Total;Valor absoluto;Mujeres;2016T3;2.191,4
Total;Valor absoluto;Mujeres;2016T2;2.325,1
Total;Valor absoluto;Mujeres;2016T1;2.413,5
Total;Valor absoluto;Mujeres;2015T4;2.391,9
Total;Valor absoluto;Mujeres;2015T3;2.392,0
Total;Valor absoluto;Mujeres;2015T2;2.560,5
Total;Valor absoluto;Mujeres;2015T1;2.642,4
Total;Valor absoluto;Mujeres;2014T4;2.634,0
Total;Valor absoluto;Mujeres;2014T3;2.634,2
Total;Valor absoluto;Mujeres;2014T2;2.690,7
Total;Valor absoluto;Mujeres;2014T1;2.816,7
Total;Valor absoluto;Mujeres;2013T4;2.826,8
Total;Valor absoluto;Mujeres;2013T3;2.782,6
Total;Valor absoluto;Mujeres;2013T2;2.852,9
Total;Valor absoluto;Mujeres;2013T1;2.919,9
Total;Valor absoluto;Mujeres;2012T4;2.809,0
Total;Valor absoluto;Mujeres;2012T3;2.687,6
Total;Valor absoluto;Mujeres;2012T2;2.606,5
Total;Valor absoluto;Mujeres;2012T1;2.615,4
Total;Valor absoluto;Mujeres;2011T4;2.429,6
Total;Valor absoluto;Mujeres;2011T3;2.301,8
Total;Valor absoluto;Mujeres;2011T2;2.219,7
Total;Valor absoluto;Mujeres;2011T1;2.276,0
Total;Valor absoluto;Mujeres;2010T4;2.149,7
Total;Valor absoluto;Mujeres;2010T3;2.100,1
Total;Valor absoluto;Mujeres;2010T2;2.109,5
Total;Valor absoluto;Mujeres;2010T1;2.058,3
Total;Porcentaje;Ambos sexos;2025T3;100,0
Total;Porcentaje;Ambos sexos;2025T2;100,0
Total;Porcentaje;Ambos sexos;2025T1;100,0
Total;Porcentaje;Ambos sexos;2024T4;100,0
Total;Porcentaje;Ambos sexos;2024T3;100,0
Total;Porcentaje;Ambos sexos;2024T2;100,0
Total;Porcentaje;Ambos sexos;2024T1;100,0
Total;Porcentaje;Ambos sexos;2023T4;100,0
Total;Porcentaje;Ambos sexos;2023T3;100,0
Total;Porcentaje;Ambos sexos;2023T2;100,0
Total;Porcentaje;Ambos sexos;2023T1;100,0
Total;Porcentaje;Ambos sexos;2022T4;100,0
Total;Porcentaje;Ambos sexos;2022T3;100,0
Total;Porcentaje;Ambos sexos;2022T2;100,0
Total;Porcentaje;Ambos sexos;2022T1;100,0
Total;Porcentaje;Ambos sexos;2021T4;100,0
Total;Porcentaje;Ambos sexos;2021T3;100,0
Total;Porcentaje;Ambos sexos;2021T2;100,0
Total;Porcentaje;Ambos sexos;2021T1;100,0
Total;Porcentaje;Ambos sexos;2020T4;100,0
Total;Porcentaje;Ambos sexos;2020T3;100,0
Total;Porcentaje;Ambos sexos;2020T2;100,0
Total;Porcentaje;Ambos sexos;2020T1;100,0
Total;Porcentaje;Ambos sexos;2019T4;100,0
Total;Porcentaje;Ambos sexos;2019T3;100,0
Total;Porcentaje;Ambos sexos;2019T2;100,0
Total;Porcentaje;Ambos sexos;2019T1;100,0
Total;Porcentaje;Ambos sexos;2018T4;100,0
Total;Porcentaje;Ambos sexos;2018T3;100,0
Total;Porcentaje;Ambos sexos;2018T2;100,0
Total;Porcentaje;Ambos sexos;2018T1;100,0
Total;Porcentaje;Ambos sexos;2017T4;100,0
Total;Porcentaje;Ambos sexos;2017T3;100,0
Total;Porcentaje;Ambos sexos;2017T2;100,0
Total;Porcentaje;Ambos sexos;2017T1;100,0
Total;Porcentaje;Ambos sexos;2016T4;100,0
Total;Porcentaje;Ambos sexos;2016T3;100,0
Total;Porcentaje;Ambos sexos;2016T2;100,0
Total;Porcentaje;Ambos sexos;2016T1;100,0
Total;Porcentaje;Ambos sexos;2015T4;100,0
Total;Porcentaje;Ambos sexos;2015T3;100,0
Total;Porcentaje;Ambos sexos;2015T2;100,0
Total;Porcentaje;Ambos sexos;2015T1;100,0
Total;Porcentaje;Ambos sexos;2014T4;100,0
Total;Porcentaje;Ambos sexos;2014T3;100,0
Total;Porcentaje;Ambos sexos;2014T2;100,0
Total;Porcentaje;Ambos sexos;2014T1;100,0
Total;Porcentaje;Ambos sexos;2013T4;100,0
Total;Porcentaje;Ambos sexos;2013T3;100,0
Total;Porcentaje;Ambos sexos;2013T2;100,0
Total;Porcentaje;Ambos sexos;2013T1;100,0
Total;Porcentaje;Ambos sexos;2012T4;100,0
Total;Porcentaje;Ambos sexos;2012T3;100,0
Total;Porcentaje;Ambos sexos;2012T2;100,0
Total;Porcentaje;Ambos sexos;2012T1;100,0
Total;Porcentaje;Ambos sexos;2011T4;100,0
Total;Porcentaje;Ambos sexos;2011T3;100,0
Total;Porcentaje;Ambos sexos;2011T2;100,0
Total;Porcentaje;Ambos sexos;2011T1;100,0
Total;Porcentaje;Ambos sexos;2010T4;100,0
Total;Porcentaje;Ambos sexos;2010T3;100,0
Total;Porcentaje;Ambos sexos;2010T2;100,0
Total;Porcentaje;Ambos sexos;2010T1;100,0
Total;Porcentaje;Hombres;2025T3;100,0
Total;Porcentaje;Hombres;2025T2;100,0
Total;Porcentaje;Hombres;2025T1;100,0
Total;Porcentaje;Hombres;2024T4;100,0
Total;Porcentaje;Hombres;2024T3;100,0
Total;Porcentaje;Hombres;2024T2;100,0
Total;Porcentaje;Hombres;2024T1;100,0
Total;Porcentaje;Hombres;2023T4;100,0
Total;Porcentaje;Hombres;2023T3;100,0
Total;Porcentaje;Hombres;2023T2;100,0
Total;Porcentaje;Hombres;2023T1;100,0
Total;Porcentaje;Hombres;2022T4;100,0
Total;Porcentaje;Hombres;2022T3;100,0
Total;Porcentaje;Hombres;2022T2;100,0
Total;Porcentaje;Hombres;2022T1;100,0
Total;Porcentaje;Hombres;2021T4;100,0
Total;Porcentaje;Hombres;2021T3;100,0
Total;Porcentaje;Hombres;2021T2;100,0
Total;Porcentaje;Hombres;2021T1;100,0
Total;Porcentaje;Hombres;2020T4;100,0
Total;Porcentaje;Hombres;2020T3;100,0
Total;Porcentaje;Hombres;2020T2;100,0
Total;Porcentaje;Hombres;2020T1;100,0
Total;Porcentaje;Hombres;2019T4;100,0
Total;Porcentaje;Hombres;2019T3;100,0
Total;Porcentaje;Hombres;2019T2;100,0
Total;Porcentaje;Hombres;2019T1;100,0
Total;Porcentaje;Hombres;2018T4;100,0
Total;Porcentaje;Hombres;2018T3;100,0
Total;Porcentaje;Hombres;2018T2;100,0
Total;Porcentaje;Hombres;2018T1;100,0
Total;Porcentaje;Hombres;2017T4;100,0
Total;Porcentaje;Hombres;2017T3;100,0
Total;Porcentaje;Hombres;2017T2;100,0
Total;Porcentaje;Hombres;2017T1;100,0
Total;Porcentaje;Hombres;2016T4;100,0
Total;Porcentaje;Hombres;2016T3;100,0
Total;Porcentaje;Hombres;2016T2;100,0
Total;Porcentaje;Hombres;2016T1;100,0
Total;Porcentaje;Hombres;2015T4;100,0
Total;Porcentaje;Hombres;2015T3;100,0
Total;Porcentaje;Hombres;2015T2;100,0
Total;Porcentaje;Hombres;2015T1;100,0
Total;Porcentaje;Hombres;2014T4;100,0
Total;Porcentaje;Hombres;2014T3;100,0
Total;Porcentaje;Hombres;2014T2;100,0
Total;Porcentaje;Hombres;2014T1;100,0
Total;Porcentaje;Hombres;2013T4;100,0
Total;Porcentaje;Hombres;2013T3;100,0
Total;Porcentaje;Hombres;2013T2;100,0
Total;Porcentaje;Hombres;2013T1;100,0
Total;Porcentaje;Hombres;2012T4;100,0
Total;Porcentaje;Hombres;2012T3;100,0
Total;Porcentaje;Hombres;2012T2;100,0
Total;Porcentaje;Hombres;2012T1;100,0
Total;Porcentaje;Hombres;2011T4;100,0
Total;Porcentaje;Hombres;2011T3;100,0
Total;Porcentaje;Hombres;2011T2;100,0
Total;Porcentaje;Hombres;2011T1;100,0
Total;Porcentaje;Hombres;2010T4;100,0
Total;Porcentaje;Hombres;2010T3;100,0
Total;Porcentaje;Hombres;2010T2;100,0
Total;Porcentaje;Hombres;2010T1;100,0
Total;Porcentaje;Mujeres;2025T3;100,0
Total;Porcentaje;Mujeres;2025T2;100,0
Total;Porcentaje;Mujeres;2025T1;100,0
Total;Porcentaje;Mujeres;2024T4;100,0
Total;Porcentaje;Mujeres;2024T3;100,0
Total;Porcentaje;Mujeres;2024T2;100,0
Total;Porcentaje;Mujeres;2024T1;100,0
Total;Porcentaje;Mujeres;2023T4;100,0
Total;Porcentaje;Mujeres;2023T3;100,0
Total;Porcentaje;Mujeres;2023T2;100,0
Total;Porcentaje;Mujeres;2023T1;100,0
Total;Porcentaje;Mujeres;2022T4;100,0
Total;Porcentaje;Mujeres;2022T3;100,0
Total;Porcentaje;Mujeres;2022T2;100,0
Total;Porcentaje;Mujeres;2022T1;100,0
Total;Porcentaje;Mujeres;2021T4;100,0
Total;Porcentaje;Mujeres;2021T3;100,0
Total;Porcentaje;Mujeres;2021T2;100,0
Total;Porcentaje;Mujeres;2021T1;100,0
Total;Porcentaje;Mujeres;2020T4;100,0
Total;Porcentaje;Mujeres;2020T3;100,0
Total;Porcentaje;Mujeres;2020T2;100,0
Total;Porcentaje;Mujeres;2020T1;100,0
Total;Porcentaje;Mujeres;2019T4;100,0
Total;Porcentaje;Mujeres;2019T3;100,0
Total;Porcentaje;Mujeres;2019T2;100,0
Total;Porcentaje;Mujeres;2019T1;100,0
Total;Porcentaje;Mujeres;2018T4;100,0
Total;Porcentaje;Mujeres;2018T3;100,0
Total;Porcentaje;Mujeres;2018T2;100,0
Total;Porcentaje;Mujeres;2018T1;100,0
Total;Porcentaje;Mujeres;2017T4;100,0
Total;Porcentaje;Mujeres;2017T3;100,0
Total;Porcentaje;Mujeres;2017T2;100,0
Total;Porcentaje;Mujeres;2017T1;100,0
Total;Porcentaje;Mujeres;2016T4;100,0
Total;Porcentaje;Mujeres;2016T3;100,0
Total;Porcentaje;Mujeres;2016T2;100,0
Total;Porcentaje;Mujeres;2016T1;100,0
Total;Porcentaje;Mujeres;2015T4;100,0
Total;Porcentaje;Mujeres;2015T3;100,0
Total;Porcentaje;Mujeres;2015T2;100,0
Total;Porcentaje;Mujeres;2015T1;100,0
Total;Porcentaje;Mujeres;2014T4;100,0
Total;Porcentaje;Mujeres;2014T3;100,0
Total;Porcentaje;Mujeres;2014T2;100,0
Total;Porcentaje;Mujeres;2014T1;100,0
Total;Porcentaje;Mujeres;2013T4;100,0
Total;Porcentaje;Mujeres;2013T3;100,0
Total;Porcentaje;Mujeres;2013T2;100,0
Total;Porcentaje;Mujeres;2013T1;100,0
Total;Porcentaje;Mujeres;2012T4;100,0
Total;Porcentaje;Mujeres;2012T3;100,0
Total;Porcentaje;Mujeres;2012T2;100,0
Total;Porcentaje;Mujeres;2012T1;100,0
Total;Porcentaje;Mujeres;2011T4;100,0
Total;Porcentaje;Mujeres;2011T3;100,0
Total;Porcentaje;Mujeres;2011T2;100,0
Total;Porcentaje;Mujeres;2011T1;100,0
Total;Porcentaje;Mujeres;2010T4;100,0
Total;Porcentaje;Mujeres;2010T3;100,0
Total;Porcentaje;Mujeres;2010T2;100,0
Total;Porcentaje;Mujeres;2010T1;100,0
De 16 a 19 años;Valor absoluto;Ambos sexos;2025T3;139,2
De 16 a 19 años;Valor absoluto;Ambos sexos;2025T2;127,6
De 16 a 19 años;Valor absoluto;Ambos sexos;2025T1;104,3
De 16 a 19 años;Valor absoluto;Ambos sexos;2024T4;116,3
De 16 a 19 años;Valor absoluto;Ambos sexos;2024T3;149,1
De 16 a 19 años;Valor absoluto;Ambos sexos;2024T2;148,4
De 16 a 19 años;Valor absoluto;Ambos sexos;2024T1;116,3
De 16 a 19 años;Valor absoluto;Ambos sexos;2023T4;118,1
De 16 a 19 años;Valor absoluto;Ambos sexos;2023T3;148,7
De 16 a 19 años;Valor absoluto;Ambos sexos;2023T2;124,8
De 16 a 19 años;Valor absoluto;Ambos sexos;2023T1;115,6
De 16 a 19 años;Valor absoluto;Ambos sexos;2022T4;109,6
De 16 a 19 años;Valor absoluto;Ambos sexos;2022T3;143,7
De 16 a 19 años;Valor absoluto;Ambos sexos;2022T2;147,3
De 16 a 19 años;Valor absoluto;Ambos sexos;2022T1;117,1
De 16 a 19 años;Valor absoluto;Ambos sexos;2021T4;120,8
De 16 a 19 años;Valor absoluto;Ambos sexos;2021T3;141,4
De 16 a 19 años;Valor absoluto;Ambos sexos;2021T2;144,9
De 16 a 19 años;Valor absoluto;Ambos sexos;2021T1;115,7
De 16 a 19 años;Valor absoluto;Ambos sexos;2020T4;131,1
De 16 a 19 años;Valor absoluto;Ambos sexos;2020T3;150,2
De 16 a 19 años;Valor absoluto;Ambos sexos;2020T2;108,2
De 16 a 19 años;Valor absoluto;Ambos sexos;2020T1;116,5
De 16 a 19 años;Valor absoluto;Ambos sexos;2019T4;114,7
De 16 a 19 años;Valor absoluto;Ambos sexos;2019T3;130,1
De 16 a 19 años;Valor absoluto;Ambos sexos;2019T2;128,9
De 16 a 19 años;Valor absoluto;Ambos sexos;2019T1;123,3
De 16 a 19 años;Valor absoluto;Ambos sexos;2018T4;120,1
De 16 a 19 años;Valor absoluto;Ambos sexos;2018T3;137,8
De 16 a 19 años;Valor absoluto;Ambos sexos;2018T2;139,7
De 16 a 19 años;Valor absoluto;Ambos sexos;2018T1;132,8
De 16 a 19 años;Valor absoluto;Ambos sexos;2017T4;140,2
De 16 a 19 años;Valor absoluto;Ambos sexos;2017T3;150,3
De 16 a 19 años;Valor absoluto;Ambos sexos;2017T2;141,1
De 16 a 19 años;Valor absoluto;Ambos sexos;2017T1;134,5
De 16 a 19 años;Valor absoluto;Ambos sexos;2016T4;137,5
De 16 a 19 años;Valor absoluto;Ambos sexos;2016T3;146,3
De 16 a 19 años;Valor absoluto;Ambos sexos;2016T2;147,8
De 16 a 19 años;Valor absoluto;Ambos sexos;2016T1;143,6
De 16 a 19 años;Valor absoluto;Ambos sexos;2015T4;155,1
De 16 a 19 años;Valor absoluto;Ambos sexos;2015T3;185,9
De 16 a 19 años;Valor absoluto;Ambos sexos;2015T2;177,3
De 16 a 19 años;Valor absoluto;Ambos sexos;2015T1;170,8
De 16 a 19 años;Valor absoluto;Ambos sexos;2014T4;168,2
De 16 a 19 años;Valor absoluto;Ambos sexos;2014T3;183,6
De 16 a 19 años;Valor absoluto;Ambos sexos;2014T2;171,2
De 16 a 19 años;Valor absoluto;Ambos sexos;2014T1;169,5
De 16 a 19 años;Valor absoluto;Ambos sexos;2013T4;201,1
De 16 a 19 años;Valor absoluto;Ambos sexos;2013T3;232,8
De 16 a 19 años;Valor absoluto;Ambos sexos;2013T2;205,0
De 16 a 19 años;Valor absoluto;Ambos sexos;2013T1;206,8
De 16 a 19 años;Valor absoluto;Ambos sexos;2012T4;194,2
De 16 a 19 años;Valor absoluto;Ambos sexos;2012T3;242,5
De 16 a 19 años;Valor absoluto;Ambos sexos;2012T2;236,5
De 16 a 19 años;Valor absoluto;Ambos sexos;2012T1;214,7
De 16 a 19 años;Valor absoluto;Ambos sexos;2011T4;208,0
De 16 a 19 años;Valor absoluto;Ambos sexos;2011T3;238,1
De 16 a 19 años;Valor absoluto;Ambos sexos;2011T2;220,7
De 16 a 19 años;Valor absoluto;Ambos sexos;2011T1;216,4
De 16 a 19 años;Valor absoluto;Ambos sexos;2010T4;219,2
De 16 a 19 años;Valor absoluto;Ambos sexos;2010T3;245,8
De 16 a 19 años;Valor absoluto;Ambos sexos;2010T2;259,2
De 16 a 19 años;Valor absoluto;Ambos sexos;2010T1;233,8
De 16 a 19 años;Valor absoluto;Hombres;2025T3;61,2
De 16 a 19 años;Valor absoluto;Hombres;2025T2;71,2
De 16 a 19 años;Valor absoluto;Hombres;2025T1;60,2
De 16 a 19 años;Valor absoluto;Hombres;2024T4;55,7
De 16 a 19 años;Valor absoluto;Hombres;2024T3;79,2
De 16 a 19 años;Valor absoluto;Hombres;2024T2;83,4
De 16 a 19 años;Valor absoluto;Hombres;2024T1;68,3
De 16 a 19 años;Valor absoluto;Hombres;2023T4;68,2
De 16 a 19 años;Valor absoluto;Hombres;2023T3;84,7
De 16 a 19 años;Valor absoluto;Hombres;2023T2;70,6
De 16 a 19 años;Valor absoluto;Hombres;2023T1;66,0
De 16 a 19 años;Valor absoluto;Hombres;2022T4;66,8
De 16 a 19 años;Valor absoluto;Hombres;2022T3;82,3
De 16 a 19 años;Valor absoluto;Hombres;2022T2;82,2
De 16 a 19 años;Valor absoluto;Hombres;2022T1;61,1
De 16 a 19 años;Valor absoluto;Hombres;2021T4;67,2
De 16 a 19 años;Valor absoluto;Hombres;2021T3;77,5
De 16 a 19 años;Valor absoluto;Hombres;2021T2;76,3
De 16 a 19 años;Valor absoluto;Hombres;2021T1;64,4
De 16 a 19 años;Valor absoluto;Hombres;2020T4;68,7
De 16 a 19 años;Valor absoluto;Hombres;2020T3;83,8
De 16 a 19 años;Valor absoluto;Hombres;2020T2;62,4
De 16 a 19 años;Valor absoluto;Hombres;2020T1;70,5
De 16 a 19 años;Valor absoluto;Hombres;2019T4;65,0
De 16 a 19 años;Valor absoluto;Hombres;2019T3;71,8
De 16 a 19 años;Valor absoluto;Hombres;2019T2;71,6
De 16 a 19 años;Valor absoluto;Hombres;2019T1;61,5
De 16 a 19 años;Valor absoluto;Hombres;2018T4;67,7
De 16 a 19 años;Valor absoluto;Hombres;2018T3;78,0
De 16 a 19 años;Valor absoluto;Hombres;2018T2;78,8
De 16 a 19 años;Valor absoluto;Hombres;2018T1;76,3
De 16 a 19 años;Valor absoluto;Hombres;2017T4;79,7
De 16 a 19 años;Valor absoluto;Hombres;2017T3;90,7
De 16 a 19 años;Valor absoluto;Hombres;2017T2;80,5
De 16 a 19 años;Valor absoluto;Hombres;2017T1;79,0
De 16 a 19 años;Valor absoluto;Hombres;2016T4;72,8
De 16 a 19 años;Valor absoluto;Hombres;2016T3;80,7
De 16 a 19 años;Valor absoluto;Hombres;2016T2;84,0
De 16 a 19 años;Valor absoluto;Hombres;2016T1;86,8
De 16 a 19 años;Valor absoluto;Hombres;2015T4;84,4
De 16 a 19 años;Valor absoluto;Hombres;2015T3;103,7
De 16 a 19 años;Valor absoluto;Hombres;2015T2;97,5
De 16 a 19 años;Valor absoluto;Hombres;2015T1;95,0
De 16 a 19 años;Valor absoluto;Hombres;2014T4;85,9
De 16 a 19 años;Valor absoluto;Hombres;2014T3;95,5
De 16 a 19 años;Valor absoluto;Hombres;2014T2;97,8
De 16 a 19 años;Valor absoluto;Hombres;2014T1;94,5
De 16 a 19 años;Valor absoluto;Hombres;2013T4;113,1
De 16 a 19 años;Valor absoluto;Hombres;2013T3;125,6
De 16 a 19 años;Valor absoluto;Hombres;2013T2;113,9
