Date,Gold_USD_per_oz,Open,Volume
2010-03-05,1134.80005,1134.80005,129.0
2010-03-08,1123.59998,1123.59998,17.0
2010-03-09,1122.0,1122.0,27.0
2010-03-10,1107.80005,1107.80005,21.0
2010-03-11,1108.0,1108.0,46.0
2010-03-12,1101.5,1101.5,135.0
2010-03-15,1105.09998,1105.09998,21.0
2010-03-16,1122.19995,1122.19995,66.0
2010-03-17,1124.0,1124.0,29.0
2010-03-18,1127.40002,1127.40002,86.0
2010-03-19,1107.40002,1107.40002,54.0
2010-03-22,1099.30005,1099.30005,71.0
2010-03-23,1103.5,1103.5,16.0
2010-03-24,1088.59998,1088.59998,9.0
2010-03-25,1092.69995,1092.69995,8.0
2010-03-26,1104.19995,1104.19995,5.0
2010-03-29,1110.30005,1110.30005,158733.0
2010-03-30,1104.5,1109.69995,56533.0
2010-03-31,1113.30005,1103.09998,5950.0
2010-04-01,1125.09998,1125.09998,2696.0
2010-04-05,1132.90002,1122.30005,567.0
2010-04-06,1135.09998,1130.80005,2490.0
2010-04-07,1152.30005,1152.30005,1342.0
2010-04-08,1152.19995,1152.19995,254.0
2010-04-09,1161.09998,1161.09998,505.0
2010-04-12,1161.59998,1161.59998,483.0
2010-04-13,1152.80005,1152.80005,278.0
2010-04-14,1159.0,1159.0,162.0
2010-04-15,1159.69995,1157.5,179.0
2010-04-16,1136.30005,1136.30005,483.0
2010-04-19,1135.19995,1135.19995,145.0
2010-04-20,1138.59998,1138.59998,80.0
2010-04-21,1148.19995,1148.19995,68.0
2010-04-22,1142.30005,1142.30005,213.0
2010-04-23,1153.09998,1153.09998,40.0
2010-04-26,1153.5,1160.09998,108.0
2010-04-27,1161.69995,1152.80005,213.0
2010-04-28,1171.30005,1171.30005,299.0
2010-04-29,1168.40002,1168.40002,166.0
2010-04-30,1180.09998,1180.09998,146.0
2010-05-03,1182.69995,1178.59998,90.0
2010-05-04,1168.59998,1168.59998,94.0
2010-05-05,1174.59998,1174.59998,98.0
2010-05-06,1196.90002,1196.90002,79.0
2010-05-07,1210.0,1210.0,112.0
2010-05-10,1200.40002,1200.40002,118.0
2010-05-11,1219.90002,1219.90002,201.0
2010-05-12,1242.69995,1242.69995,213.0
2010-05-13,1228.80005,1235.30005,37.0
2010-05-14,1227.40002,1227.40002,99.0
2010-05-17,1227.69995,1233.30005,49.0
2010-05-18,1214.30005,1214.30005,73.0
2010-05-19,1192.59998,1192.59998,75.0
2010-05-20,1187.80005,1187.80005,297.0
2010-05-21,1175.69995,1175.69995,177.0
2010-05-24,1193.80005,1193.80005,14.0
2010-05-25,1197.80005,1197.80005,9.0
2010-05-26,1213.30005,1213.30005,237497.0
2010-05-27,1211.90002,1211.69995,109434.0
2010-05-28,1212.19995,1210.40002,12895.0
2010-06-01,1224.80005,1224.80005,4547.0
2010-06-02,1220.59998,1220.59998,2799.0
2010-06-03,1208.30005,1208.30005,1552.0
2010-06-04,1216.19995,1207.59998,1070.0
2010-06-07,1239.30005,1239.30005,859.0
2010-06-08,1244.0,1241.5,763.0
2010-06-09,1228.5,1237.0,446.0
2010-06-10,1220.80005,1232.80005,488.0
2010-06-11,1228.90002,1228.90002,481.0
2010-06-14,1223.30005,1223.19995,989.0
2010-06-15,1233.19995,1222.59998,251.0
2010-06-16,1229.30005,1229.30005,318.0
2010-06-17,1247.5,1233.90002,266.0
2010-06-18,1257.19995,1247.69995,130.0
2010-06-21,1239.69995,1257.40002,219.0
2010-06-22,1239.90002,1239.90002,172.0
2010-06-23,1234.09998,1233.90002,100.0
2010-06-24,1245.5,1236.40002,253.0
2010-06-25,1255.80005,1246.69995,159.0
2010-06-28,1238.19995,1238.19995,351.0
2010-06-29,1242.0,1242.0,417.0
2010-06-30,1245.5,1245.5,73.0
2010-07-01,1206.30005,1206.30005,50.0
2010-07-02,1207.40002,1201.40002,169.0
2010-07-06,1194.80005,1207.30005,52.0
2010-07-07,1198.59998,1198.59998,18.0
2010-07-08,1195.80005,1195.80005,93.0
2010-07-09,1209.59998,1209.59998,22.0
2010-07-12,1198.5,1198.5,45.0
2010-07-13,1213.30005,1213.30005,53.0
2010-07-14,1206.80005,1212.0,54.0
2010-07-15,1208.09998,1208.09998,32.0
2010-07-16,1188.0,1188.0,46.0
2010-07-19,1181.69995,1181.69995,4.0
2010-07-20,1191.5,1191.5,8.0
2010-07-21,1191.59998,1191.59998,24.0
2010-07-22,1195.5,1195.5,79.0
2010-07-23,1187.69995,1187.69995,32.0
2010-07-26,1183.0,1183.0,37.0
2010-07-27,1158.0,1158.0,29.0
2010-07-28,1160.40002,1160.40002,206828.0
2010-07-29,1168.40002,1163.80005,54384.0
2010-07-30,1181.69995,1168.19995,5466.0
2010-08-02,1183.40002,1183.40002,2504.0
2010-08-03,1185.19995,1185.19995,598.0
2010-08-04,1193.69995,1186.30005,1068.0
2010-08-05,1197.19995,1197.19995,214.0
2010-08-06,1203.40002,1203.30005,347.0
2010-08-09,1200.69995,1205.80005,658.0
2010-08-10,1196.19995,1196.19995,713.0
2010-08-11,1197.5,1197.5,351.0
2010-08-12,1214.80005,1214.80005,289.0
2010-08-13,1214.90002,1214.90002,138.0
2010-08-16,1224.5,1224.5,252.0
2010-08-17,1226.59998,1226.59998,84.0
2010-08-18,1229.69995,1229.69995,169.0
2010-08-19,1233.80005,1233.80005,46.0
2010-08-20,1227.19995,1227.19995,236.0
2010-08-23,1226.90002,1226.90002,56.0
2010-08-24,1231.80005,1231.80005,300.0
2010-08-25,1239.5,1239.5,298.0
2010-08-26,1235.40002,1235.40002,104.0
2010-08-27,1236.0,1236.0,573.0
2010-08-30,1237.09998,1237.09998,128.0
2010-08-31,1248.30005,1248.30005,124.0
2010-09-01,1246.30005,1246.30005,41.0
2010-09-02,1251.5,1251.5,100.0
2010-09-03,1249.19995,1249.19995,3.0
2010-09-07,1257.30005,1257.30005,7.0
2010-09-08,1255.59998,1255.59998,27.0
2010-09-09,1248.90002,1248.90002,9.0
2010-09-10,1244.5,1244.5,20.0
2010-09-13,1245.09998,1245.09998,18.0
2010-09-14,1269.69995,1269.69995,87.0
2010-09-15,1266.69995,1266.59998,34.0
2010-09-16,1271.90002,1271.90002,37.0
2010-09-17,1275.59998,1275.59998,54.0
2010-09-20,1279.0,1279.0,27.0
2010-09-21,1272.40002,1272.40002,56.0
2010-09-22,1290.19995,1290.19995,17.0
2010-09-23,1294.30005,1294.30005,45.0
2010-09-24,1296.0,1296.0,37.0
2010-09-27,1296.69995,1296.69995,67.0
2010-09-28,1306.59998,1287.5,25190.0
2010-09-29,1308.5,1309.40002,6745.0
2010-09-30,1307.80005,1307.19995,579.0
2010-10-01,1316.09998,1309.0,153.0
2010-10-04,1315.40002,1318.30005,95.0
2010-10-05,1338.90002,1312.90002,197.0
2010-10-06,1346.40002,1339.09998,215.0
2010-10-07,1333.90002,1347.90002,261.0
2010-10-08,1344.19995,1333.5,80.0
2010-10-11,1353.30005,1346.69995,79.0
2010-10-12,1345.69995,1346.90002,112.0
2010-10-13,1369.5,1356.40002,251.0
2010-10-14,1376.69995,1372.80005,106.0
2010-10-15,1371.09998,1379.19995,170.0
2010-10-18,1371.19995,1358.0,46.0
2010-10-19,1335.09998,1366.80005,301.0
2010-10-20,1343.30005,1336.0,148.0
2010-10-21,1324.69995,1344.19995,102.0
2010-10-22,1324.40002,1326.69995,113.0
2010-10-25,1338.30005,1333.59998,194.0
2010-10-26,1338.0,1341.19995,195.0
2010-10-27,1322.19995,1341.0,106.0
2010-10-28,1342.09998,1327.90002,192.0
2010-10-29,1357.09998,1340.19995,74.0
2010-11-01,1350.19995,1360.30005,40.0
2010-11-02,1356.40002,1356.80005,17.0
2010-11-03,1337.09998,1351.40002,135.0
2010-11-04,1382.69995,1368.59998,109.0
2010-11-05,1397.30005,1390.69995,109.0
2010-11-08,1402.80005,1390.5,112.0
2010-11-09,1409.80005,1405.19995,84.0
2010-11-10,1399.09998,1395.19995,29.0
2010-11-11,1403.09998,1400.69995,26.0
2010-11-12,1365.40002,1407.90002,182.0
2010-11-15,1368.40002,1363.69995,46.0
2010-11-16,1338.30005,1356.5,67.0
2010-11-17,1336.80005,1336.90002,50.0
2010-11-18,1352.90002,1349.5,17.0
2010-11-19,1352.19995,1350.69995,7.0
2010-11-22,1357.69995,1357.69995,7.0
2010-11-23,1377.5,1369.40002,15.0
2010-11-24,1372.90002,1377.80005,3.0
2010-11-26,1362.30005,1372.09998,138416.0
2010-11-29,1366.0,1364.0,94486.0
2010-11-30,1385.0,1366.69995,11370.0
2010-12-01,1387.30005,1386.80005,4759.0
2010-12-02,1388.5,1387.59998,1550.0
2010-12-03,1405.40002,1385.09998,2341.0
2010-12-06,1415.30005,1414.0,833.0
2010-12-07,1408.30005,1424.5,866.0
2010-12-08,1382.5,1402.5,1675.0
2010-12-09,1392.09998,1380.59998,971.0
2010-12-10,1384.30005,1388.90002,457.0
2010-12-13,1397.30005,1384.5,193.0
2010-12-14,1403.59998,1401.90002,431.0
2010-12-15,1385.5,1394.0,215.0
2010-12-16,1370.40002,1380.90002,228.0
2010-12-17,1378.59998,1376.40002,102.0
2010-12-20,1385.5,1383.19995,125.0
2010-12-21,1388.19995,1385.80005,113.0
2010-12-22,1386.80005,1388.0,58.0
2010-12-23,1380.0,1388.40002,101.0
2010-12-27,1382.40002,1373.5,322.0
2010-12-28,1405.19995,1389.80005,519.0
2010-12-29,1413.09998,1403.40002,413.0
2010-12-30,1405.59998,1413.80005,185.0
2010-12-31,1421.09998,1405.69995,54.0
2011-01-03,1422.59998,1415.59998,28.0
2011-01-04,1378.5,1409.59998,122.0
2011-01-05,1373.40002,1383.40002,175.0
2011-01-06,1371.40002,1374.80005,158.0
2011-01-07,1368.5,1372.69995,225.0
2011-01-10,1373.69995,1369.0,181.0
2011-01-11,1384.0,1375.40002,13.0
2011-01-12,1385.69995,1382.59998,204.0
2011-01-13,1386.90002,1386.09998,66.0
2011-01-14,1360.40002,1375.0,252.0
2011-01-18,1368.09998,1365.09998,106.0
2011-01-19,1370.19995,1371.90002,40.0
2011-01-20,1346.5,1367.69995,10.0
2011-01-21,1341.0,1341.69995,20.0
2011-01-24,1344.5,1352.30005,2.0
2011-01-25,1332.30005,1330.40002,394.0
2011-01-26,1333.0,1333.0,4.0
2011-01-27,1318.40002,1342.0,210699.0
2011-01-28,1340.69995,1314.0,73023.0
2011-01-31,1333.80005,1339.0,13657.0
2011-02-01,1339.59998,1333.09998,3180.0
2011-02-02,1331.5,1344.0,1363.0
2011-02-03,1352.30005,1335.59998,1865.0
2011-02-04,1348.30005,1354.80005,591.0
2011-02-07,1347.59998,1345.80005,1004.0
2011-02-08,1363.40002,1351.19995,2536.0
2011-02-09,1364.80005,1362.80005,146.0
2011-02-10,1361.90002,1364.30005,312.0
2011-02-11,1359.90002,1364.0,488.0
2011-02-14,1364.59998,1357.80005,181.0
2011-02-15,1373.59998,1361.59998,321.0
2011-02-16,1374.69995,1373.59998,156.0
2011-02-17,1384.69995,1377.69995,113.0
2011-02-18,1388.19995,1384.09998,98.0
2011-02-22,1400.5,1395.09998,430.0
2011-02-23,1413.40002,1397.80005,318.0
2011-02-24,1415.30005,1415.09998,809.0
2011-02-25,1408.69995,1401.69995,352.0
2011-02-28,1409.30005,1410.69995,205.0
2011-03-01,1430.69995,1415.30005,116.0
2011-03-02,1437.19995,1432.5,1600.0
2011-03-03,1416.0,1432.30005,244.0
2011-03-04,1428.19995,1418.90002,60.0
2011-03-07,1434.09998,1434.5,613.0
2011-03-08,1426.90002,1431.59998,198.0
2011-03-09,1429.30005,1430.0,98.0
2011-03-10,1412.19995,1429.5,23.0
2011-03-11,1421.5,1413.69995,23.0
2011-03-14,1424.59998,1420.0,58.0
2011-03-15,1392.59998,1413.30005,20.0
2011-03-16,1396.0,1398.0,38.0
2011-03-17,1404.0,1387.69995,27.0
2011-03-18,1415.90002,1406.40002,6.0
2011-03-21,1426.19995,1433.5,43.0
2011-03-22,1427.5,1430.40002,85.0
2011-03-23,1437.90002,1432.19995,19.0
2011-03-24,1434.80005,1437.69995,27.0
2011-03-25,1426.09998,1436.0,1.0
2011-03-28,1419.80005,1413.19995,6.0
2011-03-29,1416.0,1416.0,135792.0
2011-03-30,1423.80005,1418.69995,47011.0
2011-03-31,1438.90002,1423.30005,8230.0
2011-04-01,1428.09998,1433.40002,5318.0
2011-04-04,1432.19995,1429.09998,683.0
2011-04-05,1451.80005,1437.90002,2609.0
2011-04-06,1457.69995,1456.90002,901.0
2011-04-07,1458.5,1459.69995,229.0
2011-04-08,1473.40002,1457.59998,1407.0
2011-04-11,1467.40002,1476.0,378.0
2011-04-12,1452.90002,1461.80005,345.0
2011-04-13,1454.90002,1455.0,197.0
2011-04-14,1471.69995,1456.80005,535.0
2011-04-15,1485.30005,1477.59998,293.0
2011-04-18,1492.30005,1486.30005,650.0
2011-04-19,1494.5,1493.30005,168.0
2011-04-20,1498.30005,1494.0,386.0
2011-04-21,1503.19995,1503.69995,237.0
2011-04-25,1508.59998,1513.30005,233.0
2011-04-26,1503.0,1501.5,223.0
2011-04-27,1516.69995,1507.09998,460.0
2011-04-28,1530.80005,1528.59998,425.0
2011-04-29,1556.0,1538.69995,124.0
2011-05-02,1556.69995,1572.90002,200.0
2011-05-03,1540.09998,1542.5,246.0
2011-05-04,1514.90002,1535.0,272.0
2011-05-05,1480.90002,1514.69995,133.0
2011-05-06,1491.19995,1473.19995,144.0
2011-05-09,1502.90002,1501.5,44.0
2011-05-10,1516.59998,1508.40002,13.0
2011-05-11,1501.09998,1524.0,30.0
2011-05-12,1506.59998,1492.09998,11.0
2011-05-13,1493.40002,1503.5,16.0
2011-05-16,1490.40002,1489.30005,10.0
2011-05-17,1479.80005,1489.80005,41.0
2011-05-18,1495.59998,1496.40002,82.0
2011-05-19,1492.19995,1491.5,1.0
2011-05-20,1508.80005,1499.0,93.0
2011-05-23,1515.30005,1510.5,42.0
2011-05-24,1523.19995,1527.09998,4.0
2011-05-25,1526.59998,1526.40002,10.0
2011-05-26,1522.80005,1521.19995,186986.0
2011-05-27,1536.30005,1519.40002,76719.0
2011-05-31,1535.90002,1536.69995,6152.0
2011-06-01,1542.40002,1535.69995,2845.0
2011-06-02,1532.0,1541.30005,1651.0
2011-06-03,1541.69995,1534.69995,1745.0
2011-06-06,1546.5,1542.90002,691.0
2011-06-07,1543.30005,1545.0,2530.0
2011-06-08,1538.09998,1544.19995,489.0
2011-06-09,1542.09998,1536.09998,288.0
2011-06-10,1528.59998,1543.69995,632.0
2011-06-13,1515.0,1528.09998,851.0
2011-06-14,1523.80005,1517.19995,306.0
2011-06-15,1525.59998,1525.0,648.0
2011-06-16,1529.30005,1526.0,164.0
2011-06-17,1538.59998,1523.0,72.0
2011-06-20,1541.5,1536.0,99.0
2011-06-21,1546.0,1540.09998,125.0
2011-06-22,1552.90002,1547.19995,222.0
2011-06-23,1520.09998,1547.19995,300.0
2011-06-24,1500.5,1524.69995,257.0
2011-06-27,1496.0,1503.5,140.0
2011-06-28,1499.69995,1499.90002,508.0
2011-06-29,1509.90002,1504.09998,395.0
2011-06-30,1502.30005,1511.5,69.0
2011-07-01,1482.30005,1502.19995,66.0
2011-07-05,1512.30005,1490.40002,199.0
2011-07-06,1528.69995,1513.69995,71.0
2011-07-07,1530.19995,1529.09998,55.0
2011-07-08,1541.19995,1527.0,3.0
2011-07-11,1548.80005,1550.0,14.0
2011-07-12,1561.90002,1548.19995,8.0
2011-07-13,1585.19995,1574.0,29.0
2011-07-14,1589.0,1586.30005,19.0
2011-07-15,1589.80005,1582.30005,8.0
2011-07-18,1602.09998,1592.80005,13.0
2011-07-19,1600.90002,1608.09998,63.0
2011-07-20,1596.69995,1584.30005,9.0
2011-07-21,1586.80005,1598.0,24.0
2011-07-22,1601.30005,1588.5,12.0
2011-07-25,1612.0,1610.0,67.0
2011-07-26,1616.59998,1609.80005,28.0
2011-07-27,1615.0,1619.69995,232220.0
2011-07-28,1613.40002,1614.19995,70263.0
2011-07-29,1628.30005,1617.09998,6761.0
2011-08-01,1619.0,1623.0,2889.0
2011-08-02,1641.90002,1619.30005,2440.0
2011-08-03,1663.40002,1659.90002,2024.0
2011-08-04,1656.19995,1660.5,1952.0
2011-08-05,1648.80005,1647.5,825.0
2011-08-08,1710.19995,1679.09998,1885.0
2011-08-09,1740.0,1722.5,1861.0
2011-08-10,1781.30005,1744.0,969.0
2011-08-11,1748.80005,1795.09998,1503.0
2011-08-12,1740.19995,1760.59998,1166.0
2011-08-15,1755.5,1734.90002,976.0
2011-08-16,1782.40002,1769.0,278.0
2011-08-17,1791.19995,1784.80005,231.0
2011-08-18,1818.90002,1786.5,868.0
2011-08-19,1848.90002,1823.69995,328.0
2011-08-22,1888.69995,1868.59998,1106.0
2011-08-23,1858.30005,1909.0,458.0
2011-08-24,1754.09998,1833.0,992.0
2011-08-25,1759.80005,1748.40002,864.0
2011-08-26,1794.09998,1768.5,270.0
2011-08-29,1788.40002,1817.90002,828.0
2011-08-30,1826.69995,1787.19995,598.0
2011-08-31,1828.5,1830.59998,336.0
2011-09-01,1826.0,1825.80005,263.0
2011-09-02,1873.69995,1828.59998,442.0
2011-09-06,1869.90002,1886.30005,536.0
2011-09-07,1814.19995,1868.90002,470.0
2011-09-08,1854.40002,1839.30005,142.0
2011-09-09,1856.40002,1858.09998,188.0
2011-09-12,1809.90002,1852.40002,245.0
2011-09-13,1826.80005,1817.80005,52.0
2011-09-14,1823.5,1843.0,156.0
2011-09-15,1778.5,1816.30005,80.0
2011-09-16,1812.09998,1768.5,111.0
2011-09-19,1776.40002,1814.69995,13.0
2011-09-20,1806.59998,1778.80005,86.0
2011-09-21,1805.5,1808.0,22.0
2011-09-22,1739.19995,1773.19995,23.0
2011-09-23,1637.5,1737.30005,81.0
2011-09-26,1592.5,1646.40002,151.0
2011-09-27,1650.59998,1653.80005,47.0
2011-09-28,1616.30005,1650.0,21275.0
2011-09-29,1615.5,1604.0,7181.0
2011-09-30,1620.40002,1620.80005,284.0
2011-10-03,1656.0,1627.80005,101.0
2011-10-04,1614.69995,1661.0,159.0
2011-10-05,1640.30005,1629.30005,114.0
2011-10-06,1651.90002,1642.59998,38.0
2011-10-07,1634.5,1657.0,66.0
2011-10-10,1669.59998,1645.59998,61.0
2011-10-11,1659.69995,1685.0,151.0
2011-10-12,1681.30005,1667.09998,37.0
2011-10-13,1667.30005,1676.09998,148.0
2011-10-14,1681.80005,1665.80005,51.0
2011-10-17,1675.5,1683.59998,41.0
2011-10-18,1651.69995,1666.0,85.0
2011-10-19,1646.0,1659.30005,22.0
2011-10-20,1611.90002,1643.19995,92.0
2011-10-21,1635.09998,1626.09998,32.0
2011-10-24,1651.5,1646.19995,313.0
2011-10-25,1699.59998,1645.0,355.0
2011-10-26,1722.69995,1717.0,135.0
2011-10-27,1746.69995,1717.80005,494.0
2011-10-28,1746.19995,1752.0,158.0
2011-10-31,1724.19995,1741.90002,62.0
2011-11-01,1711.0,1706.69995,246.0
2011-11-02,1728.69995,1724.30005,294.0
2011-11-03,1764.19995,1740.5,290.0
2011-11-04,1755.30005,1757.0,47.0
2011-11-07,1790.30005,1755.30005,35.0
2011-11-08,1798.40002,1798.40002,14.0
2011-11-09,1790.90002,1793.0,6.0
2011-11-10,1758.90002,1766.80005,16.0
2011-11-11,1787.5,1777.0,28.0
2011-11-14,1777.80005,1779.0,24.0
2011-11-15,1781.69995,1779.19995,18.0
2011-11-16,1773.80005,1777.5,65.0
2011-11-17,1719.80005,1755.30005,54.0
2011-11-18,1724.69995,1725.0,14.0
2011-11-21,1678.30005,1704.59998,9.0
2011-11-22,1702.19995,1675.40002,13.0
2011-11-23,1695.69995,1691.19995,34.0
2011-11-25,1685.5,1690.09998,28.0
2011-11-28,1710.80005,1710.80005,175525.0
2011-11-29,1713.40002,1711.30005,64786.0
2011-11-30,1745.5,1714.0,15463.0
2011-12-01,1735.30005,1747.0,1350.0
2011-12-02,1747.0,1744.80005,1067.0
2011-12-05,1730.69995,1748.90002,756.0
2011-12-06,1727.90002,1722.09998,648.0
2011-12-07,1740.90002,1730.59998,300.0
2011-12-08,1709.80005,1742.0,942.0
2011-12-09,1712.80005,1713.30005,568.0
2011-12-12,1664.19995,1707.5,894.0
2011-12-13,1659.90002,1654.69995,274.0
2011-12-14,1584.30005,1636.5,890.0
2011-12-15,1574.59998,1571.40002,589.0
2011-12-16,1595.59998,1587.40002,57.0
2011-12-19,1594.40002,1596.40002,92.0
2011-12-20,1615.59998,1596.40002,215.0
2011-12-21,1611.90002,1615.59998,38.0
2011-12-22,1608.90002,1608.80005,599.0
2011-12-23,1604.69995,1612.0,62.0
2011-12-27,1594.19995,1599.0,52.0
2011-12-28,1562.90002,1584.90002,763.0
2011-12-29,1539.90002,1559.30005,866.0
2011-12-30,1565.80005,1549.40002,289.0
2012-01-03,1599.69995,1568.90002,229.0
2012-01-04,1611.90002,1596.59998,172.0
2012-01-05,1619.40002,1610.80005,362.0
2012-01-06,1616.09998,1622.5,20.0
2012-01-09,1607.5,1614.30005,8.0
2012-01-10,1631.0,1619.90002,47.0
2012-01-11,1639.19995,1634.80005,65.0
2012-01-12,1647.30005,1645.19995,84.0
2012-01-13,1630.40002,1638.90002,368.0
2012-01-17,1655.19995,1643.69995,16.0
2012-01-18,1659.5,1654.0,11.0
2012-01-19,1654.09998,1663.0,58.0
2012-01-20,1663.69995,1652.80005,8.0
2012-01-23,1678.0,1676.90002,10.0
2012-01-24,1664.19995,1666.90002,5.0
2012-01-25,1699.80005,1673.0,239.0
2012-01-26,1726.30005,1729.0,16.0
2012-01-27,1731.80005,1727.0,175023.0
2012-01-30,1731.0,1737.19995,53427.0
2012-01-31,1737.80005,1731.69995,7540.0
2012-02-01,1747.09998,1738.19995,2027.0
2012-02-02,1756.80005,1745.09998,2062.0
2012-02-03,1737.90002,1758.69995,543.0
2012-02-06,1722.80005,1728.0,726.0
2012-02-07,1746.40002,1722.0,272.0
2012-02-08,1729.30005,1744.0,955.0
2012-02-09,1739.0,1731.40002,119.0
2012-02-10,1723.30005,1732.69995,248.0
2012-02-13,1723.0,1725.0,104.0
2012-02-14,1715.90002,1720.0,94.0
2012-02-15,1726.30005,1723.59998,110.0
2012-02-16,1726.80005,1718.40002,38.0
2012-02-17,1724.5,1733.59998,80.0
2012-02-21,1757.09998,1736.09998,115.0
2012-02-22,1770.0,1758.69995,161.0
2012-02-23,1784.90002,1774.0,298.0
2012-02-24,1775.09998,1778.5,129.0
2012-02-27,1773.59998,1773.59998,841.0
2012-02-28,1787.0,1767.90002,306.0
2012-02-29,1709.90002,1789.90002,359.0
2012-03-01,1721.09998,1698.59998,214.0
2012-03-02,1708.80005,1723.0,135.0
2012-03-05,1703.0,1705.5,421.0
2012-03-06,1671.40002,1708.69995,176.0
2012-03-07,1683.30005,1676.0,39.0
2012-03-08,1698.09998,1686.40002,301.0
2012-03-09,1710.90002,1698.80005,73.0
2012-03-12,1699.19995,1708.09998,98.0
2012-03-13,1693.69995,1698.40002,47.0
2012-03-14,1642.5,1676.90002,201.0
2012-03-15,1659.09998,1646.30005,405.0
2012-03-16,1655.5,1660.0,317.0
2012-03-19,1666.90002,1661.19995,462.0
2012-03-20,1646.69995,1648.09998,250.0
2012-03-21,1650.0,1657.80005,546.0
2012-03-22,1642.30005,1648.0,321.0
2012-03-23,1662.30005,1652.5,76.0
2012-03-26,1685.5,1665.0,84.0
2012-03-27,1684.80005,1687.80005,100.0
2012-03-28,1657.90002,1670.09998,193107.0
2012-03-29,1652.19995,1661.80005,47342.0
2012-03-30,1669.30005,1660.59998,9825.0
2012-04-02,1677.5,1670.40002,2531.0
2012-04-03,1670.0,1677.59998,1165.0
2012-04-04,1612.30005,1646.5,1122.0
2012-04-05,1628.5,1620.80005,289.0
2012-04-09,1642.5,1645.30005,158.0
2012-04-10,1659.5,1649.0,350.0
2012-04-11,1659.0,1654.80005,426.0
2012-04-12,1679.5,1660.0,1309.0
2012-04-13,1659.09998,1673.30005,220.0
2012-04-16,1648.69995,1650.80005,717.0
2012-04-17,1650.30005,1652.0,69.0
2012-04-18,1638.80005,1653.19995,273.0
2012-04-19,1640.59998,1642.09998,77.0
2012-04-20,1642.09998,1641.69995,54.0
2012-04-23,1631.90002,1642.40002,226.0
2012-04-24,1643.0,1634.40002,123.0
2012-04-25,1641.40002,1641.30005,82.0
2012-04-26,1659.59998,1658.30005,280.0
2012-04-27,1664.0,1654.5,236.0
2012-04-30,1663.40002,1663.0,36.0
2012-05-01,1661.69995,1665.0,25.0
2012-05-02,1653.40002,1659.19995,50.0
2012-05-03,1634.19995,1651.19995,78.0
2012-05-04,1644.69995,1635.69995,68.0
2012-05-07,1638.59998,1637.90002,21.0
2012-05-08,1604.0,1636.69995,154.0
2012-05-09,1593.69995,1595.30005,30.0
2012-05-10,1595.09998,1594.19995,6.0
2012-05-11,1583.59998,1586.09998,6.0
2012-05-14,1560.59998,1563.0,5.0
2012-05-15,1556.80005,1555.40002,28.0
2012-05-16,1536.19995,1541.40002,26.0
2012-05-17,1574.5,1546.90002,51.0
2012-05-18,1591.59998,1573.69995,26.0
2012-05-21,1588.40002,1591.90002,32.0
2012-05-22,1576.30005,1575.69995,27.0
2012-05-23,1548.09998,1538.19995,6.0
2012-05-24,1557.30005,1559.0,23.0
2012-05-25,1568.80005,1558.19995,7.0
2012-05-29,1548.59998,1574.69995,259050.0
2012-05-30,1563.40002,1553.90002,79887.0
2012-05-31,1562.59998,1562.69995,5901.0
2012-06-01,1620.5,1560.0,2820.0
2012-06-04,1612.19995,1623.0,2134.0
2012-06-05,1615.19995,1619.30005,604.0
2012-06-06,1632.80005,1619.69995,419.0
2012-06-07,1586.59998,1622.59998,1200.0
2012-06-08,1590.09998,1589.90002,157.0
2012-06-11,1595.5,1608.0,129.0
