Date, EUR_USD_Rate,Open
2010-06-25,1.2373,1.2335
2010-06-28,1.2277,1.23801
2010-06-29,1.21864,1.22733
2010-06-30,1.223,1.21874
2010-07-01,1.25075,1.2232
2010-07-02,1.2571,1.25091
2010-07-05,1.2537,1.25552
2010-07-06,1.2624,1.25411
2010-07-07,1.26331,1.2617
2010-07-08,1.26941,1.26341
2010-07-09,1.2644,1.2692
2010-07-12,1.259,1.26461
2010-07-13,1.27209,1.25902
2010-07-14,1.27405,1.27217
2010-07-15,1.29286,1.27415
2010-07-16,1.29319,1.29221
2010-07-19,1.29395,1.29026
2010-07-20,1.28931,1.29421
2010-07-21,1.2768,1.28932
2010-07-22,1.29031,1.27699
2010-07-23,1.29131,1.29016
2010-07-26,1.2999,1.28893
2010-07-27,1.29909,1.2996
2010-07-28,1.29922,1.2996
2010-07-29,1.30781,1.2998
2010-07-30,1.3039,1.30765
2010-08-02,1.31759,1.30601
2010-08-03,1.32251,1.31751
2010-08-04,1.32251,1.32259
2010-08-05,1.31581,1.3161
2010-08-06,1.31813,1.31799
2010-08-09,1.32857,1.3286
2010-08-10,1.323,1.3231
2010-08-11,1.3185,1.31857
2010-08-12,1.28441,1.28414
2010-08-13,1.28299,1.28286
2010-08-16,1.27709,1.27699
2010-08-17,1.2812,1.2813
2010-08-18,1.288,1.2877
2010-08-19,1.28564,1.28555
2010-08-20,1.2808,1.2809
2010-08-23,1.271,1.27108
2010-08-24,1.2635,1.26401
2010-08-25,1.2633,1.26346
2010-08-26,1.2664,1.2661
2010-08-27,1.27065,1.2706
2010-08-30,1.2754,1.2753
2010-08-31,1.26659,1.26621
2010-09-01,1.26873,1.2686
2010-09-02,1.2803,1.28044
2010-09-03,1.28259,1.28261
2010-09-06,1.28941,1.28941
2010-09-07,1.28684,1.2868
2010-09-08,1.2678,1.26789
2010-09-09,1.2732,1.2732
2010-09-10,1.26931,1.26899
2010-09-13,1.2717,1.27189
2010-09-14,1.2872,1.28717
2010-09-15,1.29917,1.29911
2010-09-16,1.30151,1.3013
2010-09-17,1.3076,1.30751
2010-09-20,1.30439,1.30421
2010-09-21,1.30669,1.30675
2010-09-22,1.3257,1.3254
2010-09-23,1.3391,1.33923
2010-09-24,1.33191,1.33181
2010-09-27,1.34791,1.3482
2010-09-28,1.34391,1.344
2010-09-29,1.35709,1.357
2010-09-30,1.36281,1.36281
2010-10-01,1.36221,1.36231
2010-10-04,1.3777,1.37777
2010-10-05,1.36741,1.3675
2010-10-06,1.38339,1.3836
2010-10-07,1.392,1.39241
2010-10-08,1.3928,1.39229
2010-10-11,1.39776,1.39874
2010-10-12,1.38802,1.3881
2010-10-13,1.39169,1.39169
2010-10-14,1.39673,1.3969
2010-10-15,1.4072,1.407
2010-10-18,1.39643,1.3971
2010-10-19,1.39359,1.39379
2010-10-20,1.37391,1.374
2010-10-21,1.39632,1.39639
2010-10-22,1.39169,1.39167
2010-10-25,1.39441,1.39375
2010-10-26,1.39489,1.39359
2010-10-27,1.38543,1.38575
2010-10-28,1.37781,1.3777
2010-10-29,1.37781,1.3777
2010-11-01,1.39751,1.39377
2010-11-02,1.39109,1.39121
2010-11-03,1.40361,1.4031
2010-11-04,1.41273,1.41321
2010-11-05,1.4228,1.42282
2010-11-08,1.40758,1.4076
2010-11-09,1.38696,1.38581
2010-11-10,1.3772,1.37703
2010-11-11,1.37756,1.3772
2010-11-12,1.3621,1.36166
2010-11-15,1.36932,1.36956
2010-11-16,1.35748,1.35761
2010-11-17,1.34905,1.34938
2010-11-18,1.3554,1.35477
2010-11-19,1.36573,1.36593
2010-11-22,1.37444,1.37449
2010-11-23,1.36019,1.36019
2010-11-24,1.33863,1.33878
2010-11-25,1.33579,1.33579
2010-11-26,1.33397,1.33422
2010-11-29,1.3238,1.32428
2010-11-30,1.31039,1.31015
2010-12-01,1.29921,1.29949
2010-12-02,1.31249,1.31256
2010-12-03,1.3216,1.3213
2010-12-06,1.3416,1.34171
2010-12-07,1.32869,1.32904
2010-12-08,1.32447,1.32487
2010-12-09,1.32508,1.32454
2010-12-10,1.32421,1.32406
2010-12-13,1.31971,1.31987
2010-12-14,1.33955,1.33941
2010-12-15,1.33609,1.33601
2010-12-16,1.3224,1.32263
2010-12-17,1.32399,1.3241
2010-12-20,1.3165,1.31638
2010-12-21,1.3118,1.31192
2010-12-22,1.309,1.30917
2010-12-23,1.31154,1.3116
2010-12-24,1.31271,1.31237
2010-12-27,1.30798,1.3082
2010-12-28,1.31897,1.3189
2010-12-29,1.30863,1.30869
2010-12-30,1.32245,1.3221
2010-12-31,1.33012,1.33011
2011-01-03,1.33579,1.33559
2011-01-04,1.33568,1.33601
2011-01-05,1.33211,1.33239
2011-01-06,1.31569,1.3161
2011-01-07,1.29799,1.2989
2011-01-10,1.28951,1.28981
2011-01-11,1.2965,1.29591
2011-01-12,1.2984,1.2986
2011-01-13,1.31284,1.3128
2011-01-14,1.33533,1.33511
2011-01-17,1.33803,1.33761
2011-01-18,1.32839,1.32837
2011-01-19,1.33781,1.33817
2011-01-20,1.34521,1.34532
2011-01-21,1.3468,1.34657
2011-01-24,1.36195,1.36219
2011-01-25,1.36441,1.36441
2011-01-26,1.36861,1.36879
2011-01-27,1.37101,1.3708
2011-01-28,1.37231,1.3725
2011-01-31,1.35728,1.35761
2011-02-01,1.37138,1.3715
2011-02-02,1.38299,1.38278
2011-02-03,1.38179,1.38158
2011-02-04,1.36245,1.3629
2011-02-07,1.3575,1.35752
2011-02-08,1.35919,1.35942
2011-02-09,1.36269,1.36232
2011-02-10,1.3721,1.37189
2011-02-11,1.36019,1.36054
2011-02-14,1.351,1.35152
2011-02-15,1.34811,1.34831
2011-02-16,1.34986,1.3496
2011-02-17,1.35753,1.35766
2011-02-18,1.3626,1.36221
2011-02-21,1.37135,1.37137
2011-02-22,1.36823,1.36812
2011-02-23,1.36737,1.36741
2011-02-24,1.37641,1.37578
2011-02-25,1.382,1.38221
2011-02-28,1.37344,1.37361
2011-03-01,1.38215,1.38274
2011-03-02,1.37718,1.37696
2011-03-03,1.38665,1.38675
2011-03-04,1.39589,1.39591
2011-03-07,1.39907,1.39888
2011-03-08,1.39639,1.39649
2011-03-09,1.3898,1.38945
2011-03-10,1.39022,1.39047
2011-03-11,1.38013,1.3803
2011-03-14,1.39346,1.39348
2011-03-15,1.39921,1.39903
2011-03-16,1.39862,1.39856
2011-03-17,1.38848,1.38841
2011-03-18,1.40329,1.40351
2011-03-21,1.41705,1.41679
2011-03-22,1.42171,1.42185
2011-03-23,1.41681,1.41725
2011-03-24,1.4106,1.41086
2011-03-25,1.41719,1.41697
2011-03-28,1.4026,1.4025
2011-03-29,1.40797,1.40772
2011-03-30,1.41111,1.41129
2011-03-31,1.41213,1.41219
2011-04-01,1.41587,1.41601
2011-04-04,1.42233,1.42239
2011-04-05,1.42201,1.42193
2011-04-06,1.42191,1.42201
2011-04-07,1.43353,1.43361
2011-04-08,1.43021,1.4301
2011-04-11,1.44622,1.44609
2011-04-12,1.44379,1.44344
2011-04-13,1.44764,1.44749
2011-04-14,1.44421,1.44461
2011-04-15,1.44321,1.4486
2011-04-18,1.4413,1.44169
2011-04-19,1.42239,1.42227
2011-04-20,1.43379,1.4339
2011-04-21,1.4514,1.4514
2011-04-22,1.4555,1.45531
2011-04-25,1.45571,1.45552
2011-04-26,1.4579,1.45779
2011-04-27,1.4688,1.46899
2011-04-28,1.478,1.478
2011-04-29,1.48441,1.4843
2011-05-02,1.4794,1.48056
2011-05-03,1.48238,1.48249
2011-05-04,1.48333,1.4835
2011-05-05,1.48298,1.4824
2011-05-06,1.45444,1.45402
2011-05-09,1.4353,1.4346
2011-05-10,1.43761,1.43755
2011-05-11,1.44111,1.44111
2011-05-12,1.4211,1.42128
2011-05-13,1.42379,1.42361
2011-05-16,1.4078,1.40756
2011-05-17,1.41581,1.41581
2011-05-18,1.4269,1.4269
2011-05-19,1.42552,1.42562
2011-05-20,1.43162,1.4318
2011-05-23,1.41058,1.41088
2011-05-24,1.40367,1.40371
2011-05-25,1.4099,1.40992
2011-05-26,1.40849,1.40823
2011-05-27,1.41351,1.41311
2011-05-30,1.42974,1.42949
2011-05-31,1.43223,1.43242
2011-06-01,1.44279,1.44275
2011-06-02,1.43449,1.4346
2011-06-03,1.4486,1.44871
2011-06-06,1.4655,1.46561
2011-06-07,1.4583,1.45815
2011-06-08,1.4686,1.4688
2011-06-09,1.4602,1.4599
2011-06-10,1.45157,1.45123
2011-06-13,1.43326,1.43336
2011-06-14,1.44169,1.44175
2011-06-15,1.445,1.4449
2011-06-16,1.4182,1.41864
2011-06-17,1.41991,1.41999
2011-06-20,1.42851,1.42941
2011-06-21,1.43254,1.43248
2011-06-22,1.43817,1.43802
2011-06-23,1.43143,1.4318
2011-06-24,1.427,1.42731
2011-06-27,1.41713,1.4176
2011-06-28,1.43168,1.4317
2011-06-29,1.43579,1.43581
2011-06-30,1.44789,1.4481
2011-07-01,1.4497,1.44959
2011-07-04,1.454,1.45461
2011-07-05,1.45531,1.45531
2011-07-06,1.44281,1.4424
2011-07-07,1.43316,1.4332
2011-07-08,1.43645,1.43662
2011-07-11,1.42019,1.42049
2011-07-12,1.40406,1.40414
2011-07-13,1.3969,1.3969
2011-07-14,1.42343,1.42292
2011-07-15,1.41573,1.41581
2011-07-18,1.41231,1.41193
2011-07-19,1.41119,1.41109
2011-07-20,1.41729,1.41739
2011-07-21,1.427,1.4269
2011-07-22,1.442,1.44179
2011-07-25,1.43885,1.43817
2011-07-26,1.43715,1.43678
2011-07-27,1.45081,1.45041
2011-07-28,1.4373,1.43755
2011-07-29,1.4332,1.4334
2011-08-01,1.43637,1.43653
2011-08-02,1.42621,1.42712
2011-08-03,1.41733,1.4176
2011-08-04,1.4353,1.43453
2011-08-05,1.40671,1.40665
2011-08-08,1.42941,1.43006
2011-08-09,1.41707,1.41772
2011-08-10,1.43831,1.438
2011-08-11,1.41247,1.41287
2011-08-12,1.42264,1.42219
2011-08-15,1.42741,1.42729
2011-08-16,1.44383,1.44383
2011-08-17,1.4398,1.4402
2011-08-18,1.44292,1.44294
2011-08-19,1.43244,1.43207
2011-08-22,1.43693,1.43695
2011-08-23,1.4361,1.4361
2011-08-24,1.44371,1.44371
2011-08-25,1.44123,1.44111
2011-08-26,1.4373,1.4374
2011-08-29,1.44951,1.44967
2011-08-30,1.45243,1.4526
2011-08-31,1.44331,1.44346
2011-09-01,1.43746,1.4375
2011-09-02,1.42621,1.42621
2011-09-05,1.41577,1.41557
2011-09-06,1.40631,1.40691
2011-09-07,1.40032,1.40038
2011-09-08,1.40857,1.40839
2011-09-09,1.39041,1.3904
2011-09-12,1.36008,1.3596
2011-09-13,1.36603,1.3658
2011-09-14,1.36861,1.3681
2011-09-15,1.37461,1.37484
2011-09-16,1.3869,1.38673
2011-09-19,1.37014,1.37035
2011-09-20,1.36056,1.36041
2011-09-21,1.36939,1.36909
2011-09-22,1.3586,1.35847
2011-09-23,1.34809,1.34791
2011-09-26,1.3547,1.3545
2011-09-27,1.35181,1.35201
2011-09-28,1.35823,1.35849
2011-09-29,1.35377,1.35455
2011-09-30,1.35858,1.3582
2011-10-03,1.33609,1.33609
2011-10-04,1.3195,1.31942
2011-10-05,1.33301,1.33275
2011-10-06,1.33399,1.33404
2011-10-07,1.34289,1.3427
2011-10-10,1.3386,1.3386
2011-10-11,1.36355,1.36331
2011-10-12,1.36457,1.36441
2011-10-13,1.3792,1.37887
2011-10-14,1.37355,1.37431
2011-10-17,1.38791,1.38825
2011-10-18,1.3744,1.37434
2011-10-19,1.374,1.3734
2011-10-20,1.3765,1.37641
2011-10-21,1.3779,1.378
2011-10-24,1.38477,1.38479
2011-10-25,1.39223,1.39241
2011-10-26,1.39045,1.3904
2011-10-27,1.38769,1.38721
2011-10-28,1.41739,1.41749
2011-10-31,1.41401,1.41421
2011-11-01,1.386,1.38646
2011-11-02,1.3656,1.3658
2011-11-03,1.369,1.36932
2011-11-04,1.38299,1.38228
2011-11-07,1.37893,1.37952
2011-11-08,1.37601,1.37601
2011-11-09,1.38265,1.38271
2011-11-10,1.35267,1.35274
2011-11-11,1.36101,1.36119
2011-11-14,1.3787,1.3788
2011-11-15,1.36242,1.36269
2011-11-16,1.35071,1.35088
2011-11-17,1.3441,1.3443
2011-11-18,1.3458,1.3455
2011-11-21,1.353,1.3536
2011-11-22,1.34844,1.34864
2011-11-23,1.35219,1.35144
2011-11-24,1.3352,1.3347
2011-11-25,1.3331,1.3328
2011-11-28,1.33135,1.33103
2011-11-29,1.3317,1.33076
2011-11-30,1.33241,1.33239
2011-12-01,1.34439,1.34423
2011-12-02,1.34669,1.34675
2011-12-05,1.3419,1.34174
2011-12-06,1.33867,1.33847
2011-12-07,1.3412,1.3412
2011-12-08,1.34037,1.34011
2011-12-09,1.33454,1.33454
2011-12-12,1.33717,1.3371
2011-12-13,1.31711,1.31657
2011-12-14,1.30191,1.3028
2011-12-15,1.2988,1.29874
2011-12-16,1.30297,1.303
2011-12-19,1.3037,1.30359
2011-12-20,1.30078,1.3008
2011-12-21,1.3088,1.3088
2011-12-22,1.304,1.3038
2011-12-23,1.3056,1.3057
2011-12-26,1.3045,1.30439
2011-12-27,1.30506,1.30501
2011-12-28,1.30721,1.3071
2011-12-29,1.29272,1.29257
2011-12-30,1.29561,1.29522
2012-01-02,1.29601,1.29601
2012-01-03,1.2941,1.29363
2012-01-04,1.3056,1.3054
2012-01-05,1.29314,1.29309
2012-01-06,1.27961,1.2793
2012-01-09,1.26804,1.26796
2012-01-10,1.2776,1.2776
2012-01-11,1.27518,1.27543
2012-01-12,1.27239,1.27239
2012-01-13,1.28205,1.28254
2012-01-16,1.2647,1.26485
2012-01-17,1.2667,1.26674
2012-01-18,1.2746,1.27483
2012-01-19,1.2866,1.28631
2012-01-20,1.2965,1.29616
2012-01-23,1.28848,1.28904
2012-01-24,1.30269,1.30251
2012-01-25,1.3041,1.30359
2012-01-26,1.31074,1.31074
2012-01-27,1.30928,1.30892
2012-01-30,1.32079,1.32065
2012-01-31,1.31396,1.31389
2012-02-01,1.3077,1.31389
2012-02-02,1.317,1.31718
2012-02-03,1.31372,1.31354
2012-02-06,1.31271,1.31251
2012-02-07,1.31216,1.31182
2012-02-08,1.32485,1.32485
2012-02-09,1.32485,1.32503
2012-02-10,1.32784,1.32784
2012-02-13,1.32368,1.32293
2012-02-14,1.31579,1.31544
2012-02-15,1.31337,1.31297
2012-02-16,1.30581,1.30582
2012-02-17,1.31268,1.31303
2012-02-20,1.32272,1.32245
2012-02-21,1.32048,1.32048
2012-02-22,1.32433,1.32485
2012-02-23,1.32557,1.32573
2012-02-24,1.33736,1.33743
2012-02-27,1.34671,1.34698
2012-02-28,1.34066,1.34102
2012-02-29,1.3478,1.34789
2012-03-01,1.33209,1.33262
2012-03-02,1.33227,1.33189
2012-03-05,1.31862,1.31857
2012-03-06,1.32258,1.3223
2012-03-07,1.31234,1.31201
2012-03-08,1.31399,1.31406
2012-03-09,1.32749,1.32723
2012-03-12,1.31251,1.31216
2012-03-13,1.31683,1.31718
2012-03-14,1.30804,1.30804
2012-03-15,1.30225,1.30224
2012-03-16,1.30787,1.30787
2012-03-19,1.31771,1.3177
2012-03-20,1.32293,1.32293
2012-03-21,1.32377,1.32398
2012-03-22,1.32188,1.32181
2012-03-23,1.32048,1.32048
2012-03-26,1.3283,1.32837
2012-03-27,1.33601,1.33601
2012-03-28,1.33287,1.3328
2012-03-29,1.33262,1.33262
2012-03-30,1.33138,1.33138
2012-04-02,1.33583,1.33583
2012-04-03,1.33333,1.33316
2012-04-04,1.32252,1.32238
2012-04-05,1.31441,1.31441
2012-04-06,1.30651,1.3064
2012-04-09,1.30791,1.30851
2012-04-10,1.31113,1.31113
2012-04-11,1.30736,1.30753
2012-04-12,1.31199,1.31191
2012-04-13,1.31891,1.31891
2012-04-16,1.30565,1.30565
2012-04-17,1.31268,1.31268
2012-04-18,1.31354,1.31354
2012-04-19,1.31199,1.31199
2012-04-20,1.31458,1.31441
2012-04-23,1.32048,1.3209
2012-04-24,1.3152,1.31527
2012-04-25,1.31978,1.31961
2012-04-26,1.32328,1.32328
2012-04-27,1.31909,1.31926
2012-04-30,1.32415,1.32415
2012-05-01,1.32398,1.32399
2012-05-02,1.32398,1.32398
2012-05-03,1.31475,1.31492
2012-05-04,1.31562,1.31562
2012-05-07,1.29703,1.29629
2012-05-08,1.30617,1.30617
2012-05-09,1.29955,1.29929
2012-05-10,1.29366,1.29366
2012-05-11,1.29349,1.29339
2012-05-14,1.28999,1.29016
2012-05-15,1.2832,1.2832
2012-05-16,1.27356,1.27356
2012-05-17,1.27307,1.27338
2012-05-18,1.26984,1.26984
2012-05-21,1.2773,1.2773
2012-05-22,1.28107,1.28139
2012-05-23,1.26646,1.26646
2012-05-24,1.25612,1.25612
2012-05-25,1.2536,1.25376
2012-05-28,1.25691,1.25669
2012-05-29,1.25251,1.25251
2012-05-30,1.24782,1.24782
2012-05-31,1.23747,1.23747
2012-06-01,1.23625,1.23609
2012-06-04,1.24023,1.23994
2012-06-05,1.25094,1.25109
2012-06-06,1.24626,1.24626
2012-06-07,1.25739,1.25756
2012-06-08,1.25707,1.2569
2012-06-11,1.26454,1.26454
2012-06-12,1.24782,1.24782
2012-06-13,1.25047,1.25047
2012-06-14,1.25739,1.25756
2012-06-15,1.26279,1.26279
2012-06-18,1.27049,1.27049
2012-06-19,1.25976,1.25965
2012-06-20,1.26807,1.26807
2012-06-21,1.26807,1.26823
2012-06-22,1.25518,1.25502
2012-06-25,1.25376,1.25392
2012-06-26,1.25047,1.2503
2012-06-27,1.24875,1.24875
2012-06-28,1.24735,1.24719
2012-06-29,1.24409,1.24409
2012-07-02,1.26552,1.26566
2012-07-03,1.25818,1.25797
2012-07-04,1.26056,1.26056
2012-07-05,1.25163,1.25188
2012-07-06,1.23916,1.23916
2012-07-09,1.22714,1.22714
2012-07-10,1.23183,1.2318
2012-07-11,1.22564,1.22564
2012-07-12,1.22472,1.22474
2012-07-13,1.21927,1.21907
2012-07-16,1.22489,1.22489
2012-07-17,1.22684,1.22684
2012-07-18,1.22956,1.22956
2012-07-19,1.22775,1.22775
2012-07-20,1.22769,1.22775
2012-07-23,1.21271,1.21286
2012-07-24,1.21242,1.21243
2012-07-25,1.20619,1.20619
2012-07-26,1.21403,1.21403
2012-07-27,1.22805,1.22805
2012-07-30,1.23047,1.23031
2012-07-31,1.22594,1.22609
2012-08-01,1.22941,1.22941
2012-08-02,1.22414,1.22414
2012-08-03,1.21803,1.21803
2012-08-06,1.24285,1.24285
2012-08-07,1.239,1.239
2012-08-08,1.2387,1.2387
2012-08-09,1.23733,1.23724
2012-08-10,1.22941,1.22941
2012-08-13,1.22772,1.2276
2012-08-14,1.23274,1.23274
2012-08-15,1.23259,1.23259
2012-08-16,1.22895,1.22895
2012-08-17,1.23579,1.23579
2012-08-20,1.23326,1.23335
2012-08-21,1.23533,1.23518
2012-08-22,1.24766,1.24766
2012-08-23,1.25345,1.25345
2012-08-24,1.25612,1.25612
2012-08-27,1.25044,1.25045
2012-08-28,1.25016,1.25016
2012-08-29,1.25723,1.25723
2012-08-30,1.25313,1.25313
2012-08-31,1.25109,1.25109
2012-09-03,1.2577,1.2577
2012-09-04,1.25865,1.25865
2012-09-05,1.25345,1.25376
2012-09-06,1.26024,1.26024
2012-09-07,1.26326,1.26326
2012-09-10,1.27959,1.27959
2012-09-11,1.27616,1.27616
2012-09-12,1.28518,1.28518
2012-09-13,1.29032,1.29032
2012-09-14,1.29938,1.29938
2012-09-17,1.31165,1.31165
2012-09-18,1.31101,1.31096
2012-09-19,1.30463,1.30463
2012-09-20,1.30582,1.30582
2012-09-21,1.29735,1.29735
2012-09-24,1.29685,1.2969
2012-09-25,1.29416,1.29416
2012-09-26,1.29001,1.28999
2012-09-27,1.28816,1.28816
2012-09-28,1.29132,1.29132
2012-10-01,1.2809,1.28067
2012-10-02,1.28883,1.28883
2012-10-03,1.29166,1.29149
2012-10-04,1.29232,1.29249
2012-10-05,1.30174,1.30157
2012-10-08,1.30157,1.30157
2012-10-09,1.29769,1.29769
2012-10-10,1.28584,1.28584
2012-10-11,1.28584,1.28601
2012-10-12,1.29333,1.29333
2012-10-15,1.29433,1.29416
2012-10-16,1.29685,1.29685
2012-10-17,1.31079,1.31079
2012-10-18,1.31165,1.31165
2012-10-19,1.30692,1.30702
2012-10-22,1.30225,1.30225
2012-10-23,1.30702,1.30702
2012-10-24,1.29735,1.29735
2012-10-25,1.29651,1.29651
2012-10-26,1.29383,1.29383
2012-10-29,1.29241,1.29232
2012-10-30,1.29082,1.29082
2012-10-31,1.29626,1.29624
2012-11-01,1.29651,1.29651
2012-11-02,1.29483,1.29483
2012-11-05,1.28279,1.28254
2012-11-06,1.28025,1.28025
2012-11-07,1.2808,1.2809
2012-11-08,1.276,1.27556
2012-11-09,1.27453,1.27437
2012-11-12,1.27239,1.27243
2012-11-13,1.27097,1.27097
2012-11-14,1.27097,1.27113
2012-11-15,1.27324,1.27294
2012-11-16,1.27845,1.27828
2012-11-19,1.27595,1.276
2012-11-20,1.27694,1.27668
2012-11-21,1.28144,1.28139
2012-11-22,1.2865,1.2865
2012-11-23,1.28751,1.2875
2012-11-26,1.2966,1.29732
2012-11-27,1.2987,1.29904
2012-11-28,1.29383,1.29383
2012-11-29,1.29534,1.29534
2012-11-30,1.29735,1.29735
2012-12-03,1.29968,1.29971
2012-12-05,1.30993,1.30993
2012-12-06,1.30702,1.30702
2012-12-07,1.29634,1.29634
2012-12-10,1.29061,1.29066
2012-12-11,1.29383,1.29383
2012-12-12,1.30132,1.30124
2012-12-13,1.30668,1.30668
2012-12-14,1.30787,1.30787
2012-12-17,1.31659,1.31666
2012-12-18,1.31648,1.31648
2012-12-19,1.3231,1.3231
2012-12-20,1.32153,1.32135
2012-12-21,1.32377,1.3238
2012-12-24,1.3182,1.31822
2012-12-25,1.31804,1.31839
2012-12-26,1.31804,1.31822
2012-12-27,1.32258,1.32275
2012-12-28,1.32503,1.32485
2012-12-31,1.32277,1.32275
2013-01-01,1.32013,1.32013
2013-01-02,1.31978,1.31978
2013-01-03,1.31822,1.31839
2013-01-04,1.30327,1.3031
2013-01-07,1.30675,1.30685
2013-01-08,1.31251,1.31234
2013-01-09,1.30823,1.30839
2013-01-10,1.30548,1.30536
2013-01-11,1.32732,1.32732
2013-01-14,1.3362,1.33601
2013-01-15,1.33779,1.33779
2013-01-16,1.33085,1.33103
2013-01-17,1.32908,1.32908
2013-01-18,1.33726,1.33726
2013-01-21,1.332,1.33191
2013-01-22,1.33115,1.33103
2013-01-23,1.3314,1.33156
2013-01-24,1.33085,1.33085
2013-01-25,1.33693,1.3369
2013-01-28,1.3466,1.34662
2013-01-29,1.34463,1.34481
2013-01-30,1.34916,1.34916
2013-01-31,1.35683,1.35685
2013-02-01,1.3611,1.3611
2013-02-04,1.36487,1.36472
2013-02-05,1.35117,1.35108
2013-02-06,1.35814,1.35833
2013-02-07,1.35239,1.35227
2013-02-08,1.33894,1.33854
2013-02-11,1.33683,1.33672
2013-02-12,1.34036,1.3403
2013-02-13,1.34521,1.34517
2013-02-14,1.34445,1.34445
2013-02-15,1.33529,1.33529
2013-02-18,1.3344,1.33422
2013-02-19,1.33472,1.33494
2013-02-20,1.33958,1.33958
2013-02-21,1.32732,1.32732
2013-02-22,1.31944,1.31944
2013-02-25,1.31959,1.31944
2013-02-26,1.30651,1.30651
2013-02-27,1.30659,1.30693
2013-02-28,1.3151,1.3151
